"rt","stimulus","key_press","immOpt","delOpt","delay","trial_type","trial_index","time_elapsed","internal_node_id","choice"
"1314","<div class = centerbox id='container'>
            <p class = center-block-text>
                Please select the option that you would prefer pressing
                <strong>'q'</strong> for left
                <strong>'p'</strong> for right:
            </p>
            <div class='table'>
            <div class='row'>
            <div id = 'option'><center><font color='green'>
                19.60784314
            <br>
                Today
            </font></center></div>
            <div id = 'option'><center><font color='green'>
                20
            <br>
                in 2 days
            </font></center></div></div></div></div>","81","19.60784314","20","2","html-keyboard-response","0","1317","0.0-0.0-0.0","delayed"
"248","<div class = centerbox id='container'>
            <p class = center-block-text>
                Please select the option that you would prefer pressing
                <strong>'q'</strong> for left
                <strong>'p'</strong> for right:
            </p>
            <div class='table'>
            <div class='row'>
            <div id = 'option'><center><font color='green'>
                1.666666667
            <br>
                Today
            </font></center></div>
            <div id = 'option'><center><font color='green'>
                10
            <br>
                in 5 days
            </font></center></div></div></div></div>","80","1.666666667","10","5","html-keyboard-response","1","1569","0.0-0.0-1.0","immediate"
"385","<div class = centerbox id='container'>
            <p class = center-block-text>
                Please select the option that you would prefer pressing
                <strong>'q'</strong> for left
                <strong>'p'</strong> for right:
            </p>
            <div class='table'>
            <div class='row'>
            <div id = 'option'><center><font color='green'>
                3.333333333
            <br>
                Today
            </font></center></div>
            <div id = 'option'><center><font color='green'>
                20
            <br>
                in 10 days
            </font></center></div></div></div></div>","80","3.333333333","20","10","html-keyboard-response","2","1954","0.0-0.0-2.0","immediate"
"413","<div class = centerbox id='container'>
            <p class = center-block-text>
                Please select the option that you would prefer pressing
                <strong>'q'</strong> for left
                <strong>'p'</strong> for right:
            </p>
            <div class='table'>
            <div class='row'>
            <div id = 'option'><center><font color='green'>
                0.4
            <br>
                Today
            </font></center></div>
            <div id = 'option'><center><font color='green'>
                1
            <br>
                in 3 days
            </font></center></div></div></div></div>","80","0.4","1","3","html-keyboard-response","3","2368","0.0-0.0-3.0","immediate"
"385","<div class = centerbox id='container'>
            <p class = center-block-text>
                Please select the option that you would prefer pressing
                <strong>'q'</strong> for left
                <strong>'p'</strong> for right:
            </p>
            <div class='table'>
            <div class='row'>
            <div id = 'option'><center><font color='green'>
                4
            <br>
                Today
            </font></center></div>
            <div id = 'option'><center><font color='green'>
                10
            <br>
                in 3 days
            </font></center></div></div></div></div>","81","4","10","3","html-keyboard-response","4","2755","0.0-0.0-4.0","delayed"
